;Zenon;;Eprover;;Vampire;;
tptp-problems/euclid-nativeq/018_lemma_layoff.p ;179; Error  ;0; Ok;0; Ok; No: 58
tptp-problems/euclid-nativeq/018_lemma_samesidecollinear.p ;43; Error  ;1; Ok;4; Ok; No: 59
tptp-problems/euclid-nativeq/018_proposition_06.p ;0; Ok;46; Ok;0; Ok; No: 60
tptp-problems/euclid-nativeq/020_lemma_TGsymmetric.p ;325; Error  ;1; Ok;5; Ok; No: 61
tptp-problems/euclid-nativeq/020_proposition_13.p ;133; Error  ;0; Ok;0; Ok; No: 62
tptp-problems/euclid-nativeq/021_lemma_together.p ;314; Error  ;0; Ok;0; Ok; No: 63
tptp-problems/euclid-nativeq/021_proposition_05b.p ;183; Error  ;0; Ok;0; Ok; No: 64
tptp-problems/euclid-nativeq/022_lemma_TGflip.p ;40; Error  ;3; Ok;7; Ok; No: 65
tptp-problems/euclid-nativeq/022_proposition_33B.p ;88; Error  ;0; Ok;0; Ok; No: 66
tptp-problems/euclid-nativeq/023_lemma_NChelper.p ;3; Ok;1; Ok;0; Ok; No: 67
tptp-problems/euclid-nativeq/023_lemma_collinearparallel.p ;307; Error  ;373; Error  ;32; Ok; No: 68
tptp-problems/euclid-nativeq/024_lemma_TTtransitive.p ;328; Error  ;246; Ok;0; Ok; No: 69
tptp-problems/euclid-nativeq/024_lemma_betweennesspreserved.p ;32; Error  ;0; Ok;5; Ok; No: 70
tptp-problems/euclid-nativeq/025_lemma_NCdistinct.p ;0; Ok;0; Ok;0; Ok; No: 71
tptp-problems/euclid-nativeq/025_lemma_TTflip2.p ;77; Error  ;13; Ok;13; Ok; No: 72
tptp-problems/euclid-nativeq/025_lemma_righttogether.p ;212; Error  ;337; Error  ;24; Ok; No: 73
tptp-problems/euclid-nativeq/025_lemma_twoperpsparallel.p ;84; Error  ;0; Ok;0; Ok; No: 74
tptp-problems/euclid-nativeq/025_proposition_11.p ;284; Error  ;0; Ok;1; Ok; No: 75
tptp-problems/euclid-nativeq/025_proposition_27B.p ;312; Error  ;0; Ok;1; Ok; No: 76
tptp-problems/euclid-nativeq/026_proposition_26B.p ;103; Error  ;0; Ok;0; Ok; No: 77
tptp-problems/euclid-nativeq/026_proposition_28C.p ;118; Error  ;0; Ok;12; Ok; No: 78
tptp-problems/euclid-nativeq/026_proposition_28D.p ;275; Error  ;0; Ok;11; Ok; No: 79
tptp-problems/euclid-nativeq/026_proposition_41.p ;73; Error  ;0; Ok;0; Ok; No: 80
tptp-problems/euclid-nativeq/027_lemma_betweennotequal.p ;317; Error  ;0; Ok;0; Ok; No: 81
tptp-problems/euclid-nativeq/027_lemma_erectedperpendicularunique.p ;189; Error  ;0; Ok;2; Ok; No: 82
tptp-problems/euclid-nativeq/030_lemma_ray.p ;186; Error  ;393; Error;60; Error; No: 83
tptp-problems/euclid-nativeq/030_lemma_ray4_1.p ;310; Error  ;0; Ok;1; Ok; No: 84
tptp-problems/euclid-nativeq/030_lemma_ray4_2.p ;310; Error  ;0; Ok;0; Ok; No: 85
tptp-problems/euclid-nativeq/030_lemma_ray4_3.p ;326; Error  ;0; Ok;0; Ok; No: 86
tptp-problems/euclid-nativeq/030_lemma_trichotomy1.p ;321; Error  ;0; Ok;27; Ok; No: 87
tptp-problems/euclid-nativeq/031_proposition_23C.p ;90; Error  ;47; Ok;60; Error; No: 88
tptp-problems/euclid-nativeq/032_lemma_8_3.p ;275; Error  ;0; Ok;0; Ok; No: 89
tptp-problems/euclid-nativeq/032_lemma_ray3.p ;85; Error  ;0; Ok;1; Ok; No: 90
tptp-problems/euclid-nativeq/033_lemma_collinear1.p ;0; Ok;0; Ok;0; Ok; No: 91
tptp-problems/euclid-nativeq/033_proposition_28A.p ;200; Error  ;0; Ok;16; Ok; No: 92
tptp-problems/euclid-nativeq/034_lemma_NCorder.p ;0; Ok;0; Ok;0; Ok; No: 93
tptp-problems/euclid-nativeq/034_lemma_Playfair.p ;23; Ok;0; Ok;0; Ok; No: 94
tptp-problems/euclid-nativeq/034_lemma_extension.p ;91; Error  ;10; Ok;60; Error;  No: 95
tptp-problems/euclid-nativeq/035_lemma_EFreflexive.p ;39; Error  ;303; Error;4; Ok; No: 96
tptp-problems/euclid-nativeq/035_lemma_collinear2.p ;0; Ok;0; Ok;0; Ok; No: 97
tptp-problems/euclid-nativeq/035_proposition_28B.p ;56; Error  ;4; Ok;18; Ok; No: 98
tptp-problems/euclid-nativeq/035_proposition_43.p ;242; Error  ;0; Ok;0; Ok; No: 99
tptp-problems/euclid-nativeq/036_lemma_8_7.p ;301; Error  ;1; Ok;0; Ok; No: 100
tptp-problems/euclid-nativeq/038_lemma_ondiameter.p ;302; Error  ;0; Ok;1; Ok; No: 101
tptp-problems/euclid-nativeq/038_proposition_25.p ;76; Error  ;0; Ok;0; Ok; No: 102
tptp-problems/euclid-nativeq/039_lemma_ABCequalsCBA.p ;53; Error  ;158; Ok;60; Error; No: 103
tptp-problems/euclid-nativeq/040_lemma_parallelNC.p ;167; Error  ;0; Ok;0; Ok; No: 104
tptp-problems/euclid-nativeq/040_proposition_02.p ;234; Error  ;305; Error;60; Error; No: 105
tptp-problems/euclid-nativeq/040_proposition_36A.p ;168; Error  ;59; Ok;26; Ok; No: 106
tptp-problems/euclid-nativeq/041_lemma_twolines.p ;83; Error  ;0; Ok;0; Ok; No: 107
tptp-problems/euclid-nativeq/042_lemma_equalanglessymmetric.p ;41; Error  ;129; Ok;0; Ok; No: 108
tptp-problems/euclid-nativeq/042_lemma_equaltorightisright.p ;37; Error  ;306; Error;60; Error; No: 109
tptp-problems/euclid-nativeq/042_proposition_19.p ;28; Error  ;0; Ok;0; Ok; No: 110
tptp-problems/euclid-nativeq/042_proposition_40.p ;141; Error  ;338; Error;60; Error; No: 111
tptp-problems/euclid-nativeq/043_lemma_angledistinct.p ;63; Error  ;0; Ok;0; Ok; No: 112
tptp-problems/euclid-nativeq/044_lemma_PGrectangle.p ;30; Error  ;3; Ok;5; Ok; No: 113
tptp-problems/euclid-nativeq/044_lemma_equalanglestransitive.p ;39; Error  ;320; Error;60; Error; No: 114
tptp-problems/euclid-nativeq/044_lemma_subtractequals.p ;308; Error  ;0; Ok;1; Ok; No: 115
tptp-problems/euclid-nativeq/044_lemma_trapezoiddiagonals.p ;265; Error  ;354; Error;60; Error; No: 116
tptp-problems/euclid-nativeq/044_proposition_33.p ;71; Error  ;0; Ok;1; Ok; No: 117
tptp-problems/euclid-nativeq/045_lemma_21helper.p ;177; Error  ;315; Error;60; Error; No: 118
tptp-problems/euclid-nativeq/045_lemma_collinearparallel2.p ;185; Error  ;0; Ok;0; Ok; No: 119
tptp-problems/euclid-nativeq/045_lemma_droppedperpendicularunique.p ;306; Error  ;312; Error;60; Error; No: 120
tptp-problems/euclid-nativeq/045_lemma_outerconnectivity.p ;304; Error  ;316; Error;60; Error; No: 121
tptp-problems/euclid-nativeq/045_lemma_tarskiparallelflip.p ;127; Error  ;0; Ok;1; Ok; No: 122
tptp-problems/euclid-nativeq/046_lemma_interior5.p ;301; Error  ;305; Error;60; Error; No: 123
tptp-problems/euclid-nativeq/046_lemma_lessthancongruence.p ;95; Error  ;305; Error;61; Error;No: 124
