tptp-problems/euclid-native-eq/009_lemma_RTcongruence.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 1; Proved; 
tptp-problems/euclid-native-eq/010_lemma_inequalitysymmetric.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 0; Proved; 
tptp-problems/euclid-native-eq/010_lemma_rayimpliescollinear.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 1; Proved; 
tptp-problems/euclid-native-eq/010_lemma_rectanglerotate.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 1; Proved; 
tptp-problems/euclid-native-eq/011_lemma_ray1.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/011_lemma_rightreverse.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 124; Failed; 
tptp-problems/euclid-native-eq/011_lemma_samesideflip.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/011_lemma_samesidetransitive.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 101; Failed; 
tptp-problems/euclid-native-eq/011_lemma_supplementofright.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 0; Proved; 
tptp-problems/euclid-native-eq/011_lemma_TTflip.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 1; Proved; 
tptp-problems/euclid-native-eq/012_lemma_3_7a.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 0; Proved; 
tptp-problems/euclid-native-eq/012_lemma_lessthanbetween.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 1; Proved; 
tptp-problems/euclid-native-eq/013_lemma_samesidesymmetric.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/013_lemma_squareflip.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/014_lemma_localextension.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 103; Failed; 
tptp-problems/euclid-native-eq/014_lemma_RTsymmetric.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 0; Proved; 
tptp-problems/euclid-native-eq/014_lemma_samenotopposite.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/015_lemma_crossimpliesopposite.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 101; Failed; 
tptp-problems/euclid-native-eq/015_lemma_parallelsymmetric.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 118; Failed; 
tptp-problems/euclid-native-eq/015_lemma_rectanglereverse.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/015_proposition_05.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 5; Proved; 
tptp-problems/euclid-native-eq/016_lemma_supplements2.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 40; Proved; 
tptp-problems/euclid-native-eq/017_lemma_collinear5.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 101; Failed; 
tptp-problems/euclid-native-eq/017_lemma_equalanglesflip.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 0; Proved; 
tptp-problems/euclid-native-eq/017_lemma_partnotequalwhole.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 118; Failed; 
tptp-problems/euclid-native-eq/017_lemma_samesidereflexive.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/017_lemma_trichotomy2.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 118; Failed; 
tptp-problems/euclid-native-eq/018_lemma_extensionunique.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 101; Failed; 
tptp-problems/euclid-native-eq/018_lemma_layoff.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
